,lbcItemName,label
117,ערכת ס.ג אינטואישון שיק לנשים,צורכי רחצה וקוסמטיקה
118,ערכת ס.ג שיק אינטואישון לעור,צורכי רחצה וקוסמטיקה
119,שקיות אשפה ריחניות + שרוך 20 יח,צורכי משק בית אחרים
120,שקיות אשפה לבנות 35 יח,צורכי משק בית אחרים
121,שקיות אשפה ריחניות + שרוך 20 יח,צורכי משק בית אחרים
122,גלד שקיות אחסון עומדות 20 יח,צורכי משק בית אחרים
123,שקיות אשפה לבנות עם שרוך 20 יח,צורכי משק בית אחרים
124,פילה מדומה מובחר נטו,עופות
125,נאמן גרעיני חמניות 200ג,גרעינים לפיצוח
126,צוריאל טופו,גבינה
127,בולגרית עיזים במשקל,
128,סמיון שרדונה רוזה,משקאות אלכוהוליים
129,רוזמונט מרלו אסטייט 1999 750 מל,משקאות אלכוהוליים
130,קרקר סומסום 230 גרם,"ביסקוויטים, עוגות וכדומה"
131,גב.נפולאון% 30 ש,
132,תנובה גבינת שמנת זיתים,גבינה
133,היינץ חומץ מאלט 5% 500מל,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
134,רוטב ברביקיו ג'ק דניאלס,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
135,"מזון יבש טאפיס לכלבים 22.80 ק""""ג",תחביבים
136,מזון יבש לכלבים 3קג,תחביבים
137,"טאפיס 3.5 ק""""ג",תחביבים
138,צפתית רכה 5% שומן,
139,"מרטינס בירה פילס 500מ""""ל",משקאות אלכוהוליים
140,"כריות 100 גרם בד""""צ",קטניות ומוצרי דגן
141,שוקולד ציפס בדצ,
142,קליק ביסקוויט 75 גר הפוך,ממתקים ושוקולד
143,קליק כדורים 75 גר,ממתקים ושוקולד
144,קליק קורנפלקס 75גר,ממתקים ושוקולד
145,קליק חום לבן 75גר,ממתקים ושוקולד
146,קליק עוגי 75גר,ממתקים ושוקולד
147,קליק בייגלה 75גר,ממתקים ושוקולד
148,קליק כריות 75גר,ממתקים ושוקולד
149,קליק אגוזים 75גר,ממתקים ושוקולד
150,קליק שקדים 75גר,ממתקים ושוקולד
151,קליק וופל 75גר,ממתקים ושוקולד
152,גליק קורנפלקס בדצ,ממתקים ושוקולד
153,גליק ביסקוויט בדצ,ממתקים ושוקולד
154,גליק ביגלה 75גר בדצ,ממתקים ושוקולד
155,גליק כריות 75גר בדצ,ממתקים ושוקולד
156,בולגרית מעודנת 3% לייט פיראוס,גבינה
157,מונרי חומץ בלסמי כשר ירוק 500מל,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
158,צלחות פטנט 24 יח,כלי אוכל
159,קעריות פטנט 20 יח,
160,צלחות פטנט אליפסה 20 יח,כלי אוכל
161,צלחות פטנט אליפסה 15 יח,כלי אוכל
162,צלחות גדולות +פטנט נעילה 20יח,כלי אוכל
163,צלחות לילדים 20 יח,כלי אוכל
164,צלחות פטנט גדולות לבנות 14 יח,כלי אוכל
165,קעריות לבנות +פטנט הנעילה 16יח,
166,כוסות לשתיה 14יח,
167,סכום חיות לילדים 24 יח,כלי אוכל
168,קעריות לילדים 20 יח,
169,צלחות עמוקות צבעוניות +פטנט הנעילה 18יח,כלי אוכל
170,צלחות פטנט בינוניות צבעוני 16 יח,כלי אוכל
171,כוסות לילדים 18 יח,
172,שקיות זיפ לאחסון 22 יח,
173,שקיות זיפ להקפאה 18 יח,
174,שקיות זיפ להקפאה 13 יח,
175,שקיות איחסון לילדים 18 יח,
176,"בקבוק בירה 500 מ""""ל",משקאות אלכוהוליים
177,טורט בלאק פורסט,"ביסקוויטים, עוגות וכדומה"
178,פפריג' פארם מבחר עוגיות 379 גרם,"ביסקוויטים, עוגות וכדומה"
179,עוגיות פפרידג מילנו 170 גרם,"ביסקוויטים, עוגות וכדומה"
180,עוג.פפרדג שוק+תפוז מילנו 198 גרם,"ביסקוויטים, עוגות וכדומה"
181,פפריג' פארם עוגיות ג'ינג'רמן 142 גרם,"ביסקוויטים, עוגות וכדומה"
182,עוגיות מילנו דאבל שוקו 213 גר,"ביסקוויטים, עוגות וכדומה"
183,עוגיות שוקוציפס לבן טאהו 206 גר,"ביסקוויטים, עוגות וכדומה"
184,עוגיות שוקולד ציפס צ'זפיק 206 גר,"ביסקוויטים, עוגות וכדומה"
185,עוגיית שוקוציפס ואגוזי מקדמיה,"ביסקוויטים, עוגות וכדומה"
186,עוגיות נאנטקט 206ג,"ביסקוויטים, עוגות וכדומה"
187,עוגיות נאנטקט 244 גר,"ביסקוויטים, עוגות וכדומה"
188,עוגיות דאבל שוקו כהה 220 גר,"ביסקוויטים, עוגות וכדומה"
189,פפריג עוגיות סנדביץ פריכה+שוקולד,"ביסקוויטים, עוגות וכדומה"
190,עוגיות מילנו מינט 170 גר,"ביסקוויטים, עוגות וכדומה"
191,עוגיות  בראוניס קפטיבה 244 גר,"ביסקוויטים, עוגות וכדומה"
192,פפריג עוגיות חצי מצופות ללא סוכר 136גר,"ביסקוויטים, עוגות וכדומה"
193,פפריג עוגיות מילנו שחור לבן 170גר,"ביסקוויטים, עוגות וכדומה"
194,וונדרפול שקדים קלויים במלח 200ג,שקדים
195,וונדרפול פיסטוקים קלויים במלח 150ג,אגוזים ופיסטוקים
196,פסטוק קלוי עם מלח 250 גר,אגוזים ופיסטוקים
197,פיסטוק קלוי עם מלח ופלפל 250 גר,אגוזים ופיסטוקים
198,פיסטוק קלוי ללא מלח 250 גרם,אגוזים ופיסטוקים
199,וונדרפול פיסטוקים קלויים ללא מלח 150ג,אגוזים ופיסטוקים
200,וונדרפול פיסטוקים במלח ופלפל 150ג,אגוזים ופיסטוקים
201,וונדרפול פיסטוקים בצ'ילי מתוק  150ג,אגוזים ופיסטוקים
202,וונדרפול פיסטוקים בצ'ילי מתוק  250ג,אגוזים ופיסטוקים
203,וונדפול פיסטוקים מארז שלישיה 3*150גר,אגוזים ופיסטוקים
204,לחמנית לחם חי,לחם
205,לחמניה כושי,לחם
206,לחמניה שומשום,לחם
207,סבון נקה 7,צורכי רחצה וקוסמטיקה
208,מולסה (דבשה) רובוסט ירוק 355 ג,
209,מולסה דבש אורגינל צהוב,
210,עופיון טרי כשר,
211,מחית גזר שלב 1,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
212,גרבר ירקות מעורבים 113 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
213,מחית דלעת שלב 1,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
214,גרבר אפרסקים 113 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
215,גרבר תפוחי עץ 113 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
216,גרבר אגסים 113 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
217,גרבר שזיף תפוח 2,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
218,גרבר מחית משמש + פירות 113 גרם,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
219,גרבר לפתן פירות 113 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
220,גרבר פירות מעורבים שלב 2 113 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
221,מחית תפוח עם בננה שלב 2,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
222,גרבר סלט פירות 113 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
223,גרבר תפוח+אגס 113גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
224,מיץ גרבר תפוחי עץ,
225,"מיץ גרבר תפו""""ע ובננה",
226,מיץ גרבר אגסים,
227,גרבר גוניור ירקות ועוף 170 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
228,גרבר גוניור ירקות מעורבים 170ג,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
229,גרבר גוניור אפרסקים 170 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
230,גרבר גוניור תפוחי עץ 170 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
231,גרבר גוניור בננות 170 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
232,גרבר גוניור בננה ותות שדה 170 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
233,גרבר גוניור משמש ופירות מעורבים 170 גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
234,גרבר מחית לפתן פירות שלב 3 170גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
235,גוניור בננה + אננס,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
236,גרבר גוניור פירות מעורבים שלב 3,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
237,מחית גרבר בננה,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
238,גרבר גוניור סלט פירות שלב 3,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
239,גרבר אננס שלב 2 113גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
240,גרבר סלט פירות טרופי רובין 113,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
241,גרבר לפתן פירות טרופי רובין 113,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
242,גרבר גוניור סלט פירות טרופי 170ג,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
243,גרבר גוניור מנגו 170ג,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
244,"גרבר תפו""""ע רובין 113","תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
245,גרבר בננה רובין 113ג,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
246,גרבר לפתן פירות רובין 113,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
247,גרבר בננה תפוח רובין 113ג,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
248,מחית סלט פירות שלב 2,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
249,גרבר גוניור בננה רובין 170ג,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
250,גרבר גוניור לפתן פירות רובין 170ג,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
251,גרבר גוניור בננה תפוח רובין 170ג,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
252,גרבר גוניור לפתן פירות טרופי רובין 170ג,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
253,"גרבר גוניור תפו""""ע רובין 170ג","תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
254,גרבר גוניור סלט פירות רובין 170ג,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
255,גרבר עוגיות אצבע 142 גרם,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
256,גרבר עוגיות חיות 170 גרם,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
257,גרבר עוגיות פרחים 170 גרם,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
258,מברשת לבקבוק ופיטמה גרבר,
259,מוצץ סיליקון 2 יח,מוצרים ואביזרים לטיפול בתינוק
260,בקבוק גרבר פטמה שקופה,מוצרים ואביזרים לטיפול בתינוק
261,מוצץ מקושט 2 יח,מוצרים ואביזרים לטיפול בתינוק
262,זוג כפיות לתינוק גרבר,
263,מוצץ חלק אחד גרבר,מוצרים ואביזרים לטיפול בתינוק
264,מוצץ חלק אחד אורטודנטי גרבר,מוצרים ואביזרים לטיפול בתינוק
265,רפידות הנקה דקות,
266,רפידות הנקה בינוניות,
267,רפידות הנקה עבות,
268,רטיות לשימוש רב פעמי,
269,ממרח קארי ירוק 50 גרם,סלטים מוכנים
270,ממרח קארי אדום 50 גרם,סלטים מוכנים
271,ממרח תבלינ.לקארי יפני 50ג,סלטים מוכנים
272,ממרח תבלינ.למרק תאילנדי 50גר,סלטים מוכנים
273,רוטב צ'לי ג'ינג'ר למוקפץ 50מל,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
274,50רוטב מרינדה לימון גראס,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
275,רוטב סאטה אינדונזי 50 מל,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
276,ממרח קארי מסאלה 50גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
277,ממרח תבלינים טנדורי טיקה 50גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
278,ממרח תבלינים לאורז 50גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
279,תערובת מתובלת לצלעות 50מל,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
280,ממרח תבלינים תאילנדי 50ג,סלטים מוכנים
281,ממרח קארי מדראס הודי 50גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
282,50 רוטב למוקפץ סיני קלאסי,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
283,רוטב סאקלה פסטו ירוק,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
284,רוטב סאקלה עגבניות מיובשות,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
285,רוטב סאקלה ארביאטה 190 גרם,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
286,וילי פוד קממבר 125 גר,גבינה
287,וילי פוד ברי 125גר,גבינה
288,קלוביס חומץ שמפניה 500מל,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
289,שניצלונים מילי ארוז,בשר משומר ומעובד
290,ריבת תות שדה,"ריבה, דבש וכדומה"
291,נייטשר וואלי חטיף דגנים שיבולת שועל 21גר,קטניות ומוצרי דגן
292,מארז חטיפי דגנים פירות יער 5*35גר,קטניות ומוצרי דגן
293,צ'ואי עם פירות ושקדים 5 יחידות,קטניות ומוצרי דגן
294,חטיף גרנולה תפוח עץ קינמון  175גרם,קטניות ומוצרי דגן
295,בטי קרוקר פרוט ביי פוט ברי ברי 128ג,ממתקים ושוקולד
296,פרוט ביי דה פוט פירות 126גר,ממתקים ושוקולד
297,גאשרס פירות יער 153גר,ממתקים ושוקולד
298,בטי קרוקר תערבת מפין שוק.צ'יפס 464 גרם,
299,חטיף גרנולה בטעם קינמון 12 יח,קטניות ומוצרי דגן
300,קרנצי חטיף קנמון,קטניות ומוצרי דגן
301,חטיף גרנולה בטעם שיבולת שועל ודבש 12 יח,קטניות ומוצרי דגן
302,קרנצי חטיף שבולת שועל ודבש,קטניות ומוצרי דגן
303,חטיף גרנולה בטעם חמאת בוטנים 12 יח,קטניות ומוצרי דגן
304,קראנצי בודד בטעם חמאת בוטנים,קטניות ומוצרי דגן
305,נייצ'ר וואלי חטיפי גרנולה 12 יח,קטניות ומוצרי דגן
306,חטיפי גרנולה מייפל,קטניות ומוצרי דגן
307,קרנצי חטיף מייפל וסוכר חום,קטניות ומוצרי דגן
308,גנרל מילס ריסז פאפס 368גר,קטניות ומוצרי דגן
309,פרוט ביי דה פוט פירות יער 126גר,ממתקים ושוקולד
310,נצ'ור ואלי חטיף אגוז פקאן 252 גרם,קטניות ומוצרי דגן
311,תערובת פיצה קרסט 184 גר,
312,ב.קרוקר תערובת לעוגיות ש.צ'יפס 496 גרם,
313,גאשרס אבטיח 153גר,ממתקים ושוקולד
314,בטי קרוקר תערובת לעוגיות ריינבו 496 גרם,
315,בטי קרוקר תערבת סאנקיסט לימון בר 468 גרם,
316,בטי קרוקר מחית תפוחי אדמה 739גר,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות"
317,בטי קרוקר ביסקויק 1 קג,
318,מארז חטיפי גרנולה שקדים 5*35גר,קטניות ומוצרי דגן
319,נ.ואלי ש.שועל שוקולד מריר קראנצי 210ג,קטניות ומוצרי דגן
320,נ.ואלי שוקולד מריר ובוטנים צ'ואי 175ג,קטניות ומוצרי דגן
321,קראנצ'י שקדים קלויים5*42גר,קטניות ומוצרי דגן
322,בטי קרוקר תערבת מפין בננה אגוז 439 גרם,
323,בטי קרוקר תערבת מפין בלוברי 517 גרם,
324,תערובת פאי קרסט 311 גר,
325,תערובת לעוגה לבנה 517 גר,
326,בטי קרוקר תערובת לעוגת וניל זהב 517 גרם,
327,בטי קרוקר עוגה צהובה 517 ג,
328,עוגת צ'יפ דבדבן 517 גר,
329,תערובת לעוגת ריינבו 517 גר,
330,בטי קרוקר תערובת לעוגת גזר 517 גרם,
331,בטי קרוקר עוגת לימון 517גר,
332,בטי קרוקר תערובת עוגה שוקולד חלב 517 ג,
333,תערובת לפנקייק בטרמילק 1קג,
334,תערובת לפנקייק אורגינל 1 קג,
335,בטי קרוקר ציפוי וניל לעוגה 453גר,
336,בטי קרוקר ציפוי שוקולד לעוגה 453גר,
337,ציפוי קרים צ'יז 453 גר,
338,בטי קרקר ציפוי ריינבו לעוגה 453 גר,
339,גאשרס תות 153גר,ממתקים ושוקולד
340,פרוט ביי דה פוט תות 126גר,ממתקים ושוקולד
341,חטיף דגנים בטעם פקאן 12*21גרם,קטניות ומוצרי דגן
342,"קרנצי חטיף גרנולה בטעם תפו""ע",קטניות ומוצרי דגן
343,בטי קרוקר לעוגת טריפל שוקולד 522 גרם,
344,חטיף צואי בטעם פירות ושקדים 35גר,קטניות ומוצרי דגן
345,נ.ו סוויט אנד סולטי שקדים 16*21גר,קטניות ומוצרי דגן
346,נ.ואלי ש.שועל שוקולד מריר קראנצי 42ג,קטניות ומוצרי דגן
347,צואי חטיף בטעם שוקולד 280ג,קטניות ומוצרי דגן
348,קראנצי חט.גרנולה ש.שועל 10 יח  210 גרם,קטניות ומוצרי דגן
349,קראנצי שיבולת שועל ודבש 42גר,קטניות ומוצרי דגן
350,קראנצי חט.גרנולה+מייפל 10 יח 210 גרם,קטניות ומוצרי דגן
351,קראנצי מייפל וסוכר חום,קטניות ומוצרי דגן
352,קראנצי חטיף גרנולה קינמון 10 יח 210 גרם,קטניות ומוצרי דגן
353,קראנצי  קינמון בודד,קטניות ומוצרי דגן
354,קראנצי חטיף גרנולה מעורבת 10 יח 210 גרם,קטניות ומוצרי דגן
355,חטיפי גרנולה קראנצ'י חמאת בוטנים 10*21גר,קטניות ומוצרי דגן
356,שליש בגאט כפרי,לחם
357,קוראסון ביס,
358,מאפנים שיש,"ביסקוויטים, עוגות וכדומה"
359,חלב קוקוס פח 400מל,
360,קרם קוקוס,
361,"חלב קוקוס 400 מ""""ל",
362,משקה מנגו,
363,משקה ליצי,
364,צמר פלדה+חומר פעיל 10יח,
365,שליש באגט,לחם
366,חצי באגט כפרי,לחם
367,לחמניה כריך,לחם
368,לחמניה כריך,לחם
369,לחם כפרי עגול,
370,לחם חיטה מלאה,
371,לחם איטלקי,
372,לחם איטלקי שום,
373,לחם איטלקי,
374,לחם איטלקי,לחם
375,לחם איטלקי,
376,חלה מתוקה 500 גרם,לחם
377,חלה,לחם
378,לחמניה ביס 60 גרם,לחם
379,לחמניה 75 גרם,לחם
380,לחמניה חיטה,לחם
381,לחמניה קשר ציפ,לחם
382,ג`בטה כפרי 200 גרם,לחם
383,פוקצ`ה ירקות-חצי,
384,בייגל אמריקאי,לחם
385,בייגל אמריקאי,לחם
386,קוראסון ביס שוקולד,מוצרי בצק
387,חלה מתוקה קלועה,לחם
388,קוראסון ביס,מוצרי בצק
389,דניש שוקולד צ`יפ,מוצרי בצק
390,ריבועי פרג,מוצרי בצק
391,תפוחיות,מוצרי בצק
392,אצבעות גבינה וצימוקים,מוצרי בצק
393,בורקס גבינה,מוצרי בצק
394,פילס תפו`א,מוצרי בצק
395,פילס גבינה,מוצרי בצק
396,פלטה כושית,"ביסקוויטים, עוגות וכדומה"
397,רולדת שוקולד,"ביסקוויטים, עוגות וכדומה"
398,שומשום,
399,קוקיס לבן,"ביסקוויטים, עוגות וכדומה"
400,קוקיס אגוז,"ביסקוויטים, עוגות וכדומה"
